title,amount,date,category
Transaction4 on Shopping,151.0,"Wed, May 03, 2023",Shopping
Transaction5 on Shopping,46.0,"Wed, May 03, 2023",Shopping
Transaction6 on Transportation,12.0,"Wed, May 03, 2023",Transportation
Transaction7 on Food,80.0,"Wed, May 03, 2023",Food
Transaction8 on Food,115.0,"Wed, May 03, 2023",Food
Transaction9 on Entertainment,11.0,"Wed, May 03, 2023",Entertainment
Transaction10 on Transportation,93.0,"Wed, May 03, 2023",Transportation
Transaction11 on Shopping,182.0,"Wed, May 03, 2023",Shopping
Transaction12 on Fitness,187.0,"Wed, May 03, 2023",Fitness
Transaction13 on Transportation,190.0,"Wed, May 03, 2023",Transportation
Transaction14 on Shopping,78.0,"Wed, May 03, 2023",Shopping
Transaction15 on Shopping,161.0,"Wed, May 03, 2023",Shopping
Transaction16 on Fitness,180.0,"Wed, May 03, 2023",Fitness
Transaction17 on Food,101.0,"Wed, May 03, 2023",Food
Transaction18 on Shopping,136.0,"Wed, May 03, 2023",Shopping
Transaction19 on Food,8.0,"Wed, May 03, 2023",Food
Transaction20 on Fitness,178.0,"Wed, May 03, 2023",Fitness
Transaction1 on Entertainment,40.0,"Thu, May 04, 2023",Entertainment
Transaction2 on Fitness,81.0,"Thu, May 04, 2023",Fitness
Transaction3 on Shopping,91.0,"Thu, May 04, 2023",Shopping
Transaction4 on Food,31.0,"Thu, May 04, 2023",Food
Transaction5 on Shopping,53.0,"Thu, May 04, 2023",Shopping
Transaction6 on Shopping,181.0,"Thu, May 04, 2023",Shopping
Transaction7 on Transportation,27.0,"Thu, May 04, 2023",Transportation
Transaction8 on Food,184.0,"Thu, May 04, 2023",Food
Transaction9 on Shopping,17.0,"Thu, May 04, 2023",Shopping
Transaction10 on Transportation,171.0,"Thu, May 04, 2023",Transportation
Transaction11 on Shopping,39.0,"Thu, May 04, 2023",Shopping
Transaction12 on Food,71.0,"Thu, May 04, 2023",Food
Transaction13 on Fitness,127.0,"Thu, May 04, 2023",Fitness
Transaction14 on Fitness,118.0,"Thu, May 04, 2023",Fitness
Transaction15 on Shopping,186.0,"Thu, May 04, 2023",Shopping
Transaction16 on Food,80.0,"Thu, May 04, 2023",Food
Transaction17 on Transportation,150.0,"Thu, May 04, 2023",Transportation
Transaction18 on Entertainment,8.0,"Thu, May 04, 2023",Entertainment
Transaction19 on Food,197.0,"Thu, May 04, 2023",Food
Transaction20 on Entertainment,100.0,"Thu, May 04, 2023",Entertainment
Transaction1 on Transportation,142.0,"Fri, May 05, 2023",Transportation
Transaction2 on Entertainment,28.0,"Fri, May 05, 2023",Entertainment
Transaction3 on Fitness,73.0,"Fri, May 05, 2023",Fitness
Transaction4 on Food,16.0,"Fri, May 05, 2023",Food
Transaction5 on Entertainment,141.0,"Fri, May 05, 2023",Entertainment
Transaction6 on Transportation,82.0,"Fri, May 05, 2023",Transportation
Transaction7 on Entertainment,57.0,"Fri, May 05, 2023",Entertainment
Transaction8 on Fitness,81.0,"Fri, May 05, 2023",Fitness
Transaction9 on Transportation,29.0,"Fri, May 05, 2023",Transportation
Transaction10 on Fitness,73.0,"Fri, May 05, 2023",Fitness
Transaction11 on Shopping,147.0,"Fri, May 05, 2023",Shopping
Transaction12 on Food,119.0,"Fri, May 05, 2023",Food
Transaction13 on Fitness,125.0,"Fri, May 05, 2023",Fitness
Transaction14 on Fitness,60.0,"Fri, May 05, 2023",Fitness
Transaction15 on Shopping,189.0,"Fri, May 05, 2023",Shopping
Transaction16 on Entertainment,68.0,"Fri, May 05, 2023",Entertainment
Transaction17 on Transportation,178.0,"Fri, May 05, 2023",Transportation
Transaction18 on Shopping,19.0,"Fri, May 05, 2023",Shopping
Transaction19 on Transportation,138.0,"Fri, May 05, 2023",Transportation
Transaction20 on Fitness,70.0,"Fri, May 05, 2023",Fitness
Transaction1 on Entertainment,16.0,"Sat, May 06, 2023",Entertainment
Transaction2 on Fitness,100.0,"Sat, May 06, 2023",Fitness
Transaction3 on Shopping,163.0,"Sat, May 06, 2023",Shopping
Transaction4 on Food,49.0,"Sat, May 06, 2023",Food
Transaction5 on Fitness,90.0,"Sat, May 06, 2023",Fitness
Transaction6 on Entertainment,69.0,"Sat, May 06, 2023",Entertainment
Transaction7 on Entertainment,34.0,"Sat, May 06, 2023",Entertainment
Transaction8 on Transportation,157.0,"Sat, May 06, 2023",Transportation
Transaction9 on Fitness,177.0,"Sat, May 06, 2023",Fitness
Transaction10 on Transportation,142.0,"Sat, May 06, 2023",Transportation
Transaction11 on Shopping,142.0,"Sat, May 06, 2023",Shopping
Transaction12 on Transportation,126.0,"Sat, May 06, 2023",Transportation
Transaction13 on Transportation,164.0,"Sat, May 06, 2023",Transportation
Transaction14 on Entertainment,124.0,"Sat, May 06, 2023",Entertainment
Transaction15 on Transportation,73.0,"Sat, May 06, 2023",Transportation
Transaction16 on Transportation,138.0,"Sat, May 06, 2023",Transportation
Transaction17 on Transportation,196.0,"Sat, May 06, 2023",Transportation
Transaction18 on Entertainment,137.0,"Sat, May 06, 2023",Entertainment
Transaction19 on Shopping,74.0,"Sat, May 06, 2023",Shopping
Transaction20 on Shopping,150.0,"Sat, May 06, 2023",Shopping
Transaction1 on Transportation,109.0,"Sun, May 07, 2023",Transportation
Transaction2 on Transportation,13.0,"Sun, May 07, 2023",Transportation
Transaction3 on Food,86.0,"Sun, May 07, 2023",Food
Transaction4 on Food,176.0,"Sun, May 07, 2023",Food
Transaction5 on Food,140.0,"Sun, May 07, 2023",Food
Transaction6 on Transportation,160.0,"Sun, May 07, 2023",Transportation
Transaction7 on Entertainment,199.0,"Sun, May 07, 2023",Entertainment
Transaction8 on Entertainment,65.0,"Sun, May 07, 2023",Entertainment
Transaction9 on Food,171.0,"Sun, May 07, 2023",Food
Transaction10 on Shopping,170.0,"Sun, May 07, 2023",Shopping
Transaction11 on Food,131.0,"Sun, May 07, 2023",Food
Transaction12 on Shopping,135.0,"Sun, May 07, 2023",Shopping
Transaction13 on Food,181.0,"Sun, May 07, 2023",Food
Transaction14 on Transportation,98.0,"Sun, May 07, 2023",Transportation
Transaction15 on Transportation,74.0,"Sun, May 07, 2023",Transportation
Transaction16 on Fitness,197.0,"Sun, May 07, 2023",Fitness
Transaction17 on Fitness,75.0,"Sun, May 07, 2023",Fitness
Transaction18 on Entertainment,186.0,"Sun, May 07, 2023",Entertainment
Transaction19 on Fitness,173.0,"Sun, May 07, 2023",Fitness
Transaction20 on Shopping,50.0,"Sun, May 07, 2023",Shopping
Transaction1 on Fitness,193.0,"Mon, May 08, 2023",Fitness
Transaction2 on Transportation,128.0,"Mon, May 08, 2023",Transportation
Transaction3 on Entertainment,111.0,"Mon, May 08, 2023",Entertainment
Transaction4 on Shopping,14.0,"Mon, May 08, 2023",Shopping
Transaction5 on Food,93.0,"Mon, May 08, 2023",Food
Transaction6 on Fitness,111.0,"Mon, May 08, 2023",Fitness
Transaction7 on Fitness,159.0,"Mon, May 08, 2023",Fitness
Transaction8 on Entertainment,58.0,"Mon, May 08, 2023",Entertainment
Transaction9 on Fitness,55.0,"Mon, May 08, 2023",Fitness
Transaction10 on Fitness,172.0,"Mon, May 08, 2023",Fitness
Transaction11 on Entertainment,162.0,"Mon, May 08, 2023",Entertainment
Transaction12 on Food,107.0,"Mon, May 08, 2023",Food
Transaction13 on Transportation,103.0,"Mon, May 08, 2023",Transportation
Transaction14 on Shopping,98.0,"Mon, May 08, 2023",Shopping
Transaction15 on Transportation,76.0,"Mon, May 08, 2023",Transportation
Transaction16 on Entertainment,53.0,"Mon, May 08, 2023",Entertainment
Transaction17 on Shopping,31.0,"Mon, May 08, 2023",Shopping
Transaction18 on Fitness,83.0,"Mon, May 08, 2023",Fitness
Transaction19 on Fitness,69.0,"Mon, May 08, 2023",Fitness
Transaction20 on Entertainment,116.0,"Mon, May 08, 2023",Entertainment
Transaction1 on Transportation,136.0,"Tue, May 09, 2023",Transportation
Transaction2 on Entertainment,164.0,"Tue, May 09, 2023",Entertainment
Transaction3 on Shopping,62.0,"Tue, May 09, 2023",Shopping
Transaction4 on Entertainment,50.0,"Tue, May 09, 2023",Entertainment
Transaction5 on Entertainment,94.0,"Tue, May 09, 2023",Entertainment
Transaction6 on Shopping,71.0,"Tue, May 09, 2023",Shopping
Transaction7 on Shopping,113.0,"Tue, May 09, 2023",Shopping
Transaction8 on Fitness,131.0,"Tue, May 09, 2023",Fitness
Transaction9 on Entertainment,49.0,"Tue, May 09, 2023",Entertainment
Transaction10 on Food,84.0,"Tue, May 09, 2023",Food
Transaction11 on Transportation,37.0,"Tue, May 09, 2023",Transportation
Transaction12 on Entertainment,33.0,"Tue, May 09, 2023",Entertainment
Transaction13 on Shopping,162.0,"Tue, May 09, 2023",Shopping
Transaction14 on Food,76.0,"Tue, May 09, 2023",Food
Transaction15 on Entertainment,43.0,"Tue, May 09, 2023",Entertainment
Transaction16 on Entertainment,76.0,"Tue, May 09, 2023",Entertainment
Transaction17 on Fitness,88.0,"Tue, May 09, 2023",Fitness
Transaction18 on Transportation,128.0,"Tue, May 09, 2023",Transportation
Transaction19 on Fitness,163.0,"Tue, May 09, 2023",Fitness
Transaction20 on Transportation,200.0,"Tue, May 09, 2023",Transportation
Transaction1 on Transportation,112.0,"Wed, May 10, 2023",Transportation
Transaction2 on Transportation,38.0,"Wed, May 10, 2023",Transportation
Transaction3 on Transportation,138.0,"Wed, May 10, 2023",Transportation
Transaction4 on Fitness,173.0,"Wed, May 10, 2023",Fitness
Transaction5 on Transportation,31.0,"Wed, May 10, 2023",Transportation
Transaction6 on Transportation,110.0,"Wed, May 10, 2023",Transportation
Transaction7 on Fitness,140.0,"Wed, May 10, 2023",Fitness
Transaction8 on Transportation,56.0,"Wed, May 10, 2023",Transportation
Transaction9 on Entertainment,65.0,"Wed, May 10, 2023",Entertainment
Transaction10 on Entertainment,68.0,"Wed, May 10, 2023",Entertainment
Transaction11 on Transportation,131.0,"Wed, May 10, 2023",Transportation
Transaction12 on Entertainment,62.0,"Wed, May 10, 2023",Entertainment
Transaction13 on Transportation,21.0,"Wed, May 10, 2023",Transportation
Transaction14 on Shopping,31.0,"Wed, May 10, 2023",Shopping
Transaction15 on Fitness,71.0,"Wed, May 10, 2023",Fitness
Transaction16 on Shopping,168.0,"Wed, May 10, 2023",Shopping
Transaction17 on Transportation,28.0,"Wed, May 10, 2023",Transportation
Transaction18 on Shopping,115.0,"Wed, May 10, 2023",Shopping
Transaction19 on Fitness,10.0,"Wed, May 10, 2023",Fitness
Transaction20 on Transportation,151.0,"Wed, May 10, 2023",Transportation
Transaction1 on Entertainment,54.0,"Thu, May 11, 2023",Entertainment
Transaction2 on Shopping,83.0,"Thu, May 11, 2023",Shopping
Transaction3 on Entertainment,43.0,"Thu, May 11, 2023",Entertainment
Transaction4 on Shopping,196.0,"Thu, May 11, 2023",Shopping
Transaction5 on Fitness,163.0,"Thu, May 11, 2023",Fitness
Transaction6 on Shopping,178.0,"Thu, May 11, 2023",Shopping
Transaction7 on Food,28.0,"Thu, May 11, 2023",Food
Transaction8 on Transportation,140.0,"Thu, May 11, 2023",Transportation
Transaction9 on Transportation,73.0,"Thu, May 11, 2023",Transportation
Transaction10 on Food,51.0,"Thu, May 11, 2023",Food
Transaction11 on Fitness,49.0,"Thu, May 11, 2023",Fitness
Transaction12 on Food,100.0,"Thu, May 11, 2023",Food
Transaction13 on Food,157.0,"Thu, May 11, 2023",Food
Transaction14 on Transportation,52.0,"Thu, May 11, 2023",Transportation
Transaction15 on Entertainment,123.0,"Thu, May 11, 2023",Entertainment
Transaction16 on Shopping,11.0,"Thu, May 11, 2023",Shopping
Transaction17 on Food,17.0,"Thu, May 11, 2023",Food
Transaction18 on Food,126.0,"Thu, May 11, 2023",Food
Transaction19 on Entertainment,150.0,"Thu, May 11, 2023",Entertainment
Transaction20 on Transportation,75.0,"Thu, May 11, 2023",Transportation
Transaction1 on Transportation,113.0,"Fri, May 12, 2023",Transportation
Transaction2 on Entertainment,191.0,"Fri, May 12, 2023",Entertainment
Transaction3 on Food,28.0,"Fri, May 12, 2023",Food
Transaction4 on Transportation,185.0,"Fri, May 12, 2023",Transportation
Transaction5 on Entertainment,124.0,"Fri, May 12, 2023",Entertainment
Transaction6 on Shopping,81.0,"Fri, May 12, 2023",Shopping
Transaction7 on Fitness,184.0,"Fri, May 12, 2023",Fitness
Transaction8 on Food,197.0,"Fri, May 12, 2023",Food
Transaction9 on Food,29.0,"Fri, May 12, 2023",Food
Transaction10 on Food,122.0,"Fri, May 12, 2023",Food
Transaction11 on Shopping,174.0,"Fri, May 12, 2023",Shopping
Transaction12 on Entertainment,77.0,"Fri, May 12, 2023",Entertainment
Transaction13 on Shopping,33.0,"Fri, May 12, 2023",Shopping
Transaction14 on Fitness,105.0,"Fri, May 12, 2023",Fitness
Transaction15 on Fitness,118.0,"Fri, May 12, 2023",Fitness
Transaction16 on Entertainment,114.0,"Fri, May 12, 2023",Entertainment
Transaction17 on Fitness,193.0,"Fri, May 12, 2023",Fitness
Transaction18 on Shopping,50.0,"Fri, May 12, 2023",Shopping
Transaction19 on Food,129.0,"Fri, May 12, 2023",Food
Transaction20 on Entertainment,12.0,"Fri, May 12, 2023",Entertainment
Transaction1 on Shopping,37.0,"Sat, May 13, 2023",Shopping
Transaction2 on Shopping,57.0,"Sat, May 13, 2023",Shopping
Transaction3 on Fitness,102.0,"Sat, May 13, 2023",Fitness
Transaction4 on Transportation,19.0,"Sat, May 13, 2023",Transportation
Transaction5 on Entertainment,161.0,"Sat, May 13, 2023",Entertainment
Transaction6 on Shopping,46.0,"Sat, May 13, 2023",Shopping
Transaction7 on Entertainment,48.0,"Sat, May 13, 2023",Entertainment
Transaction8 on Shopping,59.0,"Sat, May 13, 2023",Shopping
Transaction9 on Transportation,16.0,"Sat, May 13, 2023",Transportation
Transaction10 on Shopping,28.0,"Sat, May 13, 2023",Shopping
Transaction11 on Entertainment,58.0,"Sat, May 13, 2023",Entertainment
Transaction12 on Entertainment,115.0,"Sat, May 13, 2023",Entertainment
Transaction13 on Transportation,190.0,"Sat, May 13, 2023",Transportation
Transaction14 on Fitness,20.0,"Sat, May 13, 2023",Fitness
Transaction15 on Food,77.0,"Sat, May 13, 2023",Food
Transaction16 on Entertainment,40.0,"Sat, May 13, 2023",Entertainment
Transaction17 on Food,36.0,"Sat, May 13, 2023",Food
Transaction18 on Food,142.0,"Sat, May 13, 2023",Food
Transaction19 on Shopping,52.0,"Sat, May 13, 2023",Shopping
Transaction20 on Transportation,84.0,"Sat, May 13, 2023",Transportation
Transaction1 on Shopping,140.0,"Sun, May 14, 2023",Shopping
Transaction2 on Entertainment,63.0,"Sun, May 14, 2023",Entertainment
Transaction3 on Shopping,92.0,"Sun, May 14, 2023",Shopping
Transaction4 on Transportation,183.0,"Sun, May 14, 2023",Transportation
Transaction5 on Transportation,58.0,"Sun, May 14, 2023",Transportation
Transaction6 on Entertainment,146.0,"Sun, May 14, 2023",Entertainment
Transaction7 on Entertainment,77.0,"Sun, May 14, 2023",Entertainment
Transaction8 on Fitness,162.0,"Sun, May 14, 2023",Fitness
Transaction9 on Food,30.0,"Sun, May 14, 2023",Food
Transaction10 on Shopping,112.0,"Sun, May 14, 2023",Shopping
Transaction11 on Transportation,114.0,"Sun, May 14, 2023",Transportation
Transaction12 on Shopping,23.0,"Sun, May 14, 2023",Shopping
Transaction13 on Entertainment,85.0,"Sun, May 14, 2023",Entertainment
Transaction14 on Food,112.0,"Sun, May 14, 2023",Food
Transaction15 on Transportation,101.0,"Sun, May 14, 2023",Transportation
Transaction16 on Shopping,41.0,"Sun, May 14, 2023",Shopping
Transaction17 on Fitness,111.0,"Sun, May 14, 2023",Fitness
Transaction18 on Food,43.0,"Sun, May 14, 2023",Food
Transaction19 on Food,178.0,"Sun, May 14, 2023",Food
Transaction20 on Entertainment,14.0,"Sun, May 14, 2023",Entertainment
Transaction1 on Food,80.0,"Mon, May 15, 2023",Food
Transaction2 on Food,32.0,"Mon, May 15, 2023",Food
Transaction3 on Entertainment,171.0,"Mon, May 15, 2023",Entertainment
Transaction4 on Entertainment,92.0,"Mon, May 15, 2023",Entertainment
Transaction5 on Fitness,53.0,"Mon, May 15, 2023",Fitness
Transaction6 on Entertainment,93.0,"Mon, May 15, 2023",Entertainment
Transaction7 on Transportation,42.0,"Mon, May 15, 2023",Transportation
Transaction8 on Food,129.0,"Mon, May 15, 2023",Food
Transaction9 on Fitness,162.0,"Mon, May 15, 2023",Fitness
Transaction10 on Fitness,107.0,"Mon, May 15, 2023",Fitness
Transaction11 on Food,34.0,"Mon, May 15, 2023",Food
Transaction12 on Shopping,77.0,"Mon, May 15, 2023",Shopping
Transaction13 on Fitness,37.0,"Mon, May 15, 2023",Fitness
Transaction14 on Transportation,161.0,"Mon, May 15, 2023",Transportation
Transaction15 on Transportation,74.0,"Mon, May 15, 2023",Transportation
Transaction16 on Entertainment,183.0,"Mon, May 15, 2023",Entertainment
Transaction17 on Shopping,180.0,"Mon, May 15, 2023",Shopping
Transaction18 on Shopping,85.0,"Mon, May 15, 2023",Shopping
Transaction19 on Transportation,152.0,"Mon, May 15, 2023",Transportation
Transaction20 on Transportation,38.0,"Mon, May 15, 2023",Transportation
Transaction1 on Entertainment,72.0,"Tue, May 16, 2023",Entertainment
Transaction2 on Transportation,114.0,"Tue, May 16, 2023",Transportation
Transaction3 on Shopping,61.0,"Tue, May 16, 2023",Shopping
Transaction4 on Food,67.0,"Tue, May 16, 2023",Food
Transaction5 on Transportation,21.0,"Tue, May 16, 2023",Transportation
Transaction6 on Entertainment,110.0,"Tue, May 16, 2023",Entertainment
Transaction7 on Shopping,100.0,"Tue, May 16, 2023",Shopping
Transaction8 on Fitness,155.0,"Tue, May 16, 2023",Fitness
Transaction9 on Shopping,109.0,"Tue, May 16, 2023",Shopping
Transaction10 on Food,177.0,"Tue, May 16, 2023",Food
Transaction11 on Fitness,101.0,"Tue, May 16, 2023",Fitness
Transaction12 on Transportation,29.0,"Tue, May 16, 2023",Transportation
Transaction13 on Food,175.0,"Tue, May 16, 2023",Food
Transaction14 on Entertainment,61.0,"Tue, May 16, 2023",Entertainment
Transaction15 on Transportation,36.0,"Tue, May 16, 2023",Transportation
Transaction16 on Transportation,44.0,"Tue, May 16, 2023",Transportation
Transaction17 on Transportation,180.0,"Tue, May 16, 2023",Transportation
Transaction18 on Shopping,164.0,"Tue, May 16, 2023",Shopping
Transaction19 on Fitness,86.0,"Tue, May 16, 2023",Fitness
Transaction20 on Food,21.0,"Tue, May 16, 2023",Food
Transaction1 on Fitness,160.0,"Wed, May 17, 2023",Fitness
Transaction2 on Entertainment,113.0,"Wed, May 17, 2023",Entertainment
Transaction3 on Entertainment,56.0,"Wed, May 17, 2023",Entertainment
Transaction4 on Food,40.0,"Wed, May 17, 2023",Food
Transaction5 on Entertainment,19.0,"Wed, May 17, 2023",Entertainment
Transaction6 on Transportation,136.0,"Wed, May 17, 2023",Transportation
Transaction7 on Transportation,75.0,"Wed, May 17, 2023",Transportation
Transaction8 on Shopping,43.0,"Wed, May 17, 2023",Shopping
Transaction9 on Transportation,198.0,"Wed, May 17, 2023",Transportation
Transaction10 on Fitness,65.0,"Wed, May 17, 2023",Fitness
Transaction11 on Food,172.0,"Wed, May 17, 2023",Food
Transaction12 on Transportation,130.0,"Wed, May 17, 2023",Transportation
Transaction13 on Fitness,21.0,"Wed, May 17, 2023",Fitness
Transaction14 on Shopping,83.0,"Wed, May 17, 2023",Shopping
Transaction15 on Shopping,112.0,"Wed, May 17, 2023",Shopping
Transaction16 on Fitness,68.0,"Wed, May 17, 2023",Fitness
Transaction17 on Fitness,149.0,"Wed, May 17, 2023",Fitness
Transaction18 on Entertainment,11.0,"Wed, May 17, 2023",Entertainment
Transaction19 on Entertainment,75.0,"Wed, May 17, 2023",Entertainment
Transaction20 on Shopping,120.0,"Wed, May 17, 2023",Shopping
Transaction1 on Food,161.0,"Thu, May 18, 2023",Food
Transaction2 on Entertainment,39.0,"Thu, May 18, 2023",Entertainment
Transaction3 on Food,14.0,"Thu, May 18, 2023",Food
Transaction4 on Fitness,168.0,"Thu, May 18, 2023",Fitness
Transaction5 on Food,16.0,"Thu, May 18, 2023",Food
Transaction6 on Entertainment,199.0,"Thu, May 18, 2023",Entertainment
Transaction7 on Shopping,76.0,"Thu, May 18, 2023",Shopping
Transaction8 on Fitness,74.0,"Thu, May 18, 2023",Fitness
Transaction9 on Food,110.0,"Thu, May 18, 2023",Food
Transaction10 on Entertainment,40.0,"Thu, May 18, 2023",Entertainment
Transaction11 on Entertainment,32.0,"Thu, May 18, 2023",Entertainment
Transaction12 on Fitness,54.0,"Thu, May 18, 2023",Fitness
Transaction13 on Transportation,161.0,"Thu, May 18, 2023",Transportation
Transaction14 on Transportation,110.0,"Thu, May 18, 2023",Transportation
Transaction15 on Transportation,92.0,"Thu, May 18, 2023",Transportation
Transaction16 on Fitness,66.0,"Thu, May 18, 2023",Fitness
Transaction17 on Transportation,96.0,"Thu, May 18, 2023",Transportation
Transaction18 on Shopping,151.0,"Thu, May 18, 2023",Shopping
Transaction19 on Shopping,179.0,"Thu, May 18, 2023",Shopping
Transaction20 on Entertainment,162.0,"Thu, May 18, 2023",Entertainment
Transaction1 on Fitness,103.0,"Fri, May 19, 2023",Fitness
Transaction2 on Fitness,194.0,"Fri, May 19, 2023",Fitness
Transaction3 on Transportation,70.0,"Fri, May 19, 2023",Transportation
Transaction4 on Food,8.0,"Fri, May 19, 2023",Food
Transaction5 on Fitness,146.0,"Fri, May 19, 2023",Fitness
Transaction6 on Transportation,54.0,"Fri, May 19, 2023",Transportation
Transaction7 on Transportation,121.0,"Fri, May 19, 2023",Transportation
Transaction8 on Fitness,5.0,"Fri, May 19, 2023",Fitness
Transaction9 on Fitness,200.0,"Fri, May 19, 2023",Fitness
Transaction10 on Shopping,151.0,"Fri, May 19, 2023",Shopping
Transaction11 on Shopping,83.0,"Fri, May 19, 2023",Shopping
Transaction12 on Food,43.0,"Fri, May 19, 2023",Food
Transaction13 on Shopping,68.0,"Fri, May 19, 2023",Shopping
Transaction14 on Transportation,86.0,"Fri, May 19, 2023",Transportation
Transaction15 on Shopping,174.0,"Fri, May 19, 2023",Shopping
Transaction16 on Fitness,173.0,"Fri, May 19, 2023",Fitness
Transaction17 on Entertainment,186.0,"Fri, May 19, 2023",Entertainment
Transaction18 on Shopping,106.0,"Fri, May 19, 2023",Shopping
Transaction19 on Entertainment,169.0,"Fri, May 19, 2023",Entertainment
Transaction20 on Food,180.0,"Fri, May 19, 2023",Food
Transaction1 on Shopping,185.0,"Sat, May 20, 2023",Shopping
Transaction2 on Entertainment,44.0,"Sat, May 20, 2023",Entertainment
Transaction3 on Shopping,98.0,"Sat, May 20, 2023",Shopping
Transaction4 on Fitness,7.0,"Sat, May 20, 2023",Fitness
Transaction5 on Food,27.0,"Sat, May 20, 2023",Food
Transaction6 on Entertainment,52.0,"Sat, May 20, 2023",Entertainment
Transaction7 on Food,64.0,"Sat, May 20, 2023",Food
Transaction8 on Fitness,174.0,"Sat, May 20, 2023",Fitness
Transaction9 on Shopping,85.0,"Sat, May 20, 2023",Shopping
Transaction10 on Shopping,47.0,"Sat, May 20, 2023",Shopping
Transaction11 on Entertainment,157.0,"Sat, May 20, 2023",Entertainment
Transaction12 on Fitness,81.0,"Sat, May 20, 2023",Fitness
Transaction13 on Food,158.0,"Sat, May 20, 2023",Food
Transaction14 on Food,106.0,"Sat, May 20, 2023",Food
Transaction15 on Transportation,133.0,"Sat, May 20, 2023",Transportation
Transaction16 on Fitness,37.0,"Sat, May 20, 2023",Fitness
Transaction17 on Food,9.0,"Sat, May 20, 2023",Food
Transaction18 on Shopping,80.0,"Sat, May 20, 2023",Shopping
Transaction19 on Fitness,58.0,"Sat, May 20, 2023",Fitness
Transaction20 on Fitness,164.0,"Sat, May 20, 2023",Fitness
Transaction1 on Fitness,166.0,"Sun, May 21, 2023",Fitness
Transaction2 on Shopping,142.0,"Sun, May 21, 2023",Shopping
Transaction3 on Fitness,106.0,"Sun, May 21, 2023",Fitness
Transaction4 on Transportation,167.0,"Sun, May 21, 2023",Transportation
Transaction5 on Entertainment,109.0,"Sun, May 21, 2023",Entertainment
Transaction6 on Transportation,105.0,"Sun, May 21, 2023",Transportation
Transaction7 on Transportation,68.0,"Sun, May 21, 2023",Transportation
Transaction8 on Fitness,74.0,"Sun, May 21, 2023",Fitness
Transaction9 on Transportation,130.0,"Sun, May 21, 2023",Transportation
Transaction10 on Shopping,79.0,"Sun, May 21, 2023",Shopping
Transaction11 on Entertainment,192.0,"Sun, May 21, 2023",Entertainment
Transaction12 on Transportation,171.0,"Sun, May 21, 2023",Transportation
Transaction13 on Food,91.0,"Sun, May 21, 2023",Food
Transaction14 on Transportation,69.0,"Sun, May 21, 2023",Transportation
Transaction15 on Transportation,118.0,"Sun, May 21, 2023",Transportation
Transaction16 on Entertainment,59.0,"Sun, May 21, 2023",Entertainment
Transaction17 on Transportation,183.0,"Sun, May 21, 2023",Transportation
Transaction18 on Transportation,148.0,"Sun, May 21, 2023",Transportation
Transaction19 on Food,14.0,"Sun, May 21, 2023",Food
Transaction20 on Transportation,133.0,"Sun, May 21, 2023",Transportation
Transaction1 on Fitness,192.0,"Mon, May 22, 2023",Fitness
Transaction2 on Transportation,17.0,"Mon, May 22, 2023",Transportation
Transaction3 on Entertainment,22.0,"Mon, May 22, 2023",Entertainment
Transaction4 on Food,176.0,"Mon, May 22, 2023",Food
Transaction5 on Fitness,56.0,"Mon, May 22, 2023",Fitness
Transaction6 on Transportation,194.0,"Mon, May 22, 2023",Transportation
Transaction7 on Transportation,98.0,"Mon, May 22, 2023",Transportation
Transaction8 on Food,179.0,"Mon, May 22, 2023",Food
Transaction9 on Food,108.0,"Mon, May 22, 2023",Food
Transaction10 on Fitness,76.0,"Mon, May 22, 2023",Fitness
Transaction11 on Shopping,30.0,"Mon, May 22, 2023",Shopping
Transaction12 on Transportation,63.0,"Mon, May 22, 2023",Transportation
Transaction13 on Fitness,162.0,"Mon, May 22, 2023",Fitness
Transaction14 on Entertainment,47.0,"Mon, May 22, 2023",Entertainment
Transaction15 on Entertainment,117.0,"Mon, May 22, 2023",Entertainment
Transaction16 on Transportation,198.0,"Mon, May 22, 2023",Transportation
Transaction17 on Entertainment,24.0,"Mon, May 22, 2023",Entertainment
Transaction18 on Food,22.0,"Mon, May 22, 2023",Food
Transaction19 on Shopping,16.0,"Mon, May 22, 2023",Shopping
Transaction20 on Fitness,179.0,"Mon, May 22, 2023",Fitness
Transaction1 on Shopping,115.0,"Tue, May 23, 2023",Shopping
Transaction2 on Fitness,185.0,"Tue, May 23, 2023",Fitness
Transaction3 on Entertainment,182.0,"Tue, May 23, 2023",Entertainment
Transaction4 on Transportation,67.0,"Tue, May 23, 2023",Transportation
Transaction5 on Food,29.0,"Tue, May 23, 2023",Food
Transaction6 on Fitness,90.0,"Tue, May 23, 2023",Fitness
Transaction7 on Food,194.0,"Tue, May 23, 2023",Food
Transaction8 on Shopping,172.0,"Tue, May 23, 2023",Shopping
Transaction9 on Entertainment,176.0,"Tue, May 23, 2023",Entertainment
Transaction10 on Entertainment,141.0,"Tue, May 23, 2023",Entertainment
Transaction11 on Entertainment,126.0,"Tue, May 23, 2023",Entertainment
Transaction12 on Shopping,17.0,"Tue, May 23, 2023",Shopping
Transaction13 on Entertainment,138.0,"Tue, May 23, 2023",Entertainment
Transaction14 on Shopping,89.0,"Tue, May 23, 2023",Shopping
Transaction15 on Entertainment,147.0,"Tue, May 23, 2023",Entertainment
Transaction16 on Fitness,58.0,"Tue, May 23, 2023",Fitness
Transaction17 on Transportation,36.0,"Tue, May 23, 2023",Transportation
